latitude,longitude,time,u10,v10,i10fg,windspeed,bf,month
-24.0,-46.25,2017-01-03 01:00:00,2.5046456,-1.2080733,5.6568065,5.4053874957250665,BF3,1
-24.0,-46.25,2017-01-03 02:00:00,1.0801764,-0.8070704,6.854087,2.621051790809439,BF2,1
-24.0,-46.25,2017-01-03 03:00:00,0.81012785,-2.0302796,3.5723505,4.24913136859833,BF3,1
-24.0,-46.25,2017-01-03 04:00:00,1.9611303,-1.5996205,3.9119549,4.919431287357265,BF3,1
-24.0,-46.25,2017-01-03 05:00:00,2.2868488,-0.8401648,3.6803894,4.735786951496801,BF3,1
-24.0,-46.25,2017-01-03 06:00:00,2.3019872,-0.022256494,3.1033201,4.474914221877996,BF3,1
-24.0,-46.25,2017-01-03 07:00:00,1.7662851,0.3662821,3.3094425,3.5064311930754255,BF3,1
-24.0,-46.25,2017-01-03 08:00:00,1.3184831,0.55410457,2.94034,2.7800575473583256,BF2,1
-24.0,-46.25,2017-01-03 09:00:00,0.9497913,0.7440759,2.7183619,2.34533717123965,BF2,1
-24.0,-46.25,2017-01-03 10:00:00,1.9479452,-1.3378726,3.2644577,4.593561516571033,BF3,1
-24.0,-46.25,2017-01-03 11:00:00,1.4322649,1.255967,4.0096693,3.7029273148472925,BF3,1
-24.0,-46.25,2017-01-03 12:00:00,-0.08352268,2.6089756,4.3876224,5.074041065241912,BF3,1
-24.0,-46.25,2017-01-03 13:00:00,-0.83848655,2.5887752,4.5686707,5.289549300185508,BF3,1
-24.0,-46.25,2017-01-03 14:00:00,-1.2301301,3.193073,5.5122623,6.651509619848003,BF4,1
-24.0,-46.25,2017-01-03 15:00:00,-1.8571506,3.7440758,5.9385195,8.124040239242166,BF5,1
-24.0,-46.25,2017-01-03 16:00:00,-2.2478173,3.6159956,5.812781,8.276329005407595,BF5,1
-24.0,-46.25,2017-01-03 17:00:00,-2.456824,2.7680016,4.943674,7.194277737725186,BF4,1
-24.0,-46.25,2017-01-03 18:00:00,-2.3845508,2.5926433,4.3374743,6.847157843289017,BF4,1
-24.0,-46.25,2017-01-03 19:00:00,-2.5271442,2.5195773,5.283647,6.936754815515636,BF4,1
-24.0,-46.25,2017-01-03 20:00:00,-2.8470027,2.0455086,5.959906,6.81442409278022,BF4,1
